year,region,country,discipline_title,event_title,event_gender,medal_type,life_expectancy,dalys_impact_levels_for_depression
2018,Europe,United Kingdom,Skeleton,Women,Women,GOLD,High,Severe
2018,Europe,Germany,Skeleton,Women,Women,SILVER,High,Moderate
2018,Europe,United Kingdom,Skeleton,Women,Women,BRONZE,High,Severe
2018,Europe,United Kingdom,Skeleton,Men,Men,BRONZE,High,Severe
2018,Europe,Netherlands,Speed skating,Men’s 5000m,Men,GOLD,High,Moderate
2018,North America,Canada,Speed skating,Men’s 5000m,Men,SILVER,High,Moderate
2018,Europe,Norway,Speed skating,Men’s 5000m,Men,BRONZE,High,Moderate
2018,Asia,Japan,Speed skating,Ladies’ Mass Start,Women,GOLD,High,Minimal
2018,Europe,Netherlands,Speed skating,Ladies’ Mass Start,Women,BRONZE,High,Moderate
2018,Europe,Norway,Speed skating,Men’s 500m,Men,GOLD,High,Moderate
2018,Asia,China,Speed skating,Men’s 500m,Men,BRONZE,High,Minimal
2018,Asia,Japan,Speed skating,Ladies’ 500m,Women,GOLD,High,Minimal
2018,Europe,Czechia,Speed skating,Ladies’ 500m,Women,BRONZE,High,Minimal
2018,Europe,Norway,Speed skating,Men’s Team Pursuit,Men,GOLD,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s Team Pursuit,Men,BRONZE,High,Moderate
2018,North America,Canada,Speed skating,Men’s 10000m,Men,GOLD,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s 10000m,Men,SILVER,High,Moderate
2018,Europe,Italy,Speed skating,Men’s 10000m,Men,BRONZE,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s 1500m,Men,GOLD,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s 1500m,Men,SILVER,High,Moderate
2018,Europe,Netherlands,Speed skating,Ladies’ 3000m,Women,GOLD,High,Moderate
2018,Europe,Netherlands,Speed skating,Ladies’ 3000m,Women,SILVER,High,Moderate
2018,Europe,Netherlands,Speed skating,Ladies’ 3000m,Women,BRONZE,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s 1000m,Men,GOLD,High,Moderate
2018,Europe,Norway,Speed skating,Men’s 1000m,Men,SILVER,High,Moderate
2018,Asia,Japan,Speed skating,Ladies’ Team Pursuit,Women,GOLD,High,Minimal
2018,Europe,Netherlands,Speed skating,Ladies’ Team Pursuit,Women,SILVER,High,Moderate
2018,North America,United States,Speed skating,Ladies’ Team Pursuit,Women,BRONZE,High,Critical
2018,Europe,Netherlands,Speed skating,Ladies’ 5000m,Women,GOLD,High,Moderate
2018,Europe,Czechia,Speed skating,Ladies’ 5000m,Women,SILVER,High,Minimal
2018,Europe,Netherlands,Speed skating,Ladies’ 1500m,Women,GOLD,High,Moderate
2018,Asia,Japan,Speed skating,Ladies’ 1500m,Women,SILVER,High,Minimal
2018,Europe,Netherlands,Speed skating,Ladies’ 1500m,Women,BRONZE,High,Moderate
2018,Europe,Belgium,Speed skating,Men’s Mass Start,Men,SILVER,High,Moderate
2018,Europe,Netherlands,Speed skating,Men’s Mass Start,Men,BRONZE,High,Moderate
2018,Europe,Netherlands,Speed skating,Ladies’ 1000m,Women,GOLD,High,Moderate
2018,Asia,Japan,Speed skating,Ladies’ 1000m,Women,SILVER,High,Minimal
2018,Asia,Japan,Speed skating,Ladies’ 1000m,Women,BRONZE,High,Minimal
2018,Europe,France,Biathlon,2x6km Women + 2x7.5km Men Mixed Relay,Mixed,GOLD,High,Severe
2018,Europe,Norway,Biathlon,2x6km Women + 2x7.5km Men Mixed Relay,Mixed,SILVER,High,Moderate
